100
Accept Elfogad
Allow Engedelyez
Ask Kerdez
Believe Hisz
Borrow Kolcsonker
Break Tor
Bring Hoz
Bring Hoz
Buy Vasarol
Can Kepes
Cancel Ervenytelenit
Change Valtozik
Clean Tisztit
Close Becsuk
Comb Fesul
Complain Panaszkodik
Cough Kohog
Count Szamol
Cut Vag
Dance Tancol
Do Tesz
Draw Rajzol
Drink Iszik
Drive Vezet
Eat Eszik
Expected Remelt
Explain Magyaraz
Fall Esik
Fill Tolt
Final Utolso
Find Talal
Finish Befejez
Fit Megfelel
Fix Javit
Fly Repul
Forget Elfelejt
Give Ad
Go Megy
Have Van
Hear Hall
Hurt Faj
Initial    Kezdeti
Know Tud
Learn Tanul
Leave Hagy
Listen Hallgat
Live El
Look Nez
Lose Veszit
Major Jelentosebb
Minor Jelentektelen
Need Igenyel
Open Nyit
Organise Szervez
Pay Fizet
Play Jatszik
Previous Elozo
Pull Huz
Push Nyom
Put Tesz
Rain Esik
Read Olvas
Reply Valaszol
Run Szalad
Say Mond
See Lat
Sell Elad
Send Kuld
Sign Jelol
Sing Enekel
Sit Ul
Sleep Alszik
Smoke Dohanyzik
Speak Beszel
Spell Betuz
Spend Kolt
Stand All
Start Kezdodik
Succeed Sikerul
Swim Uszik
Take Visz
Teach Tanit
Tell Beszel
Think Gondol
Translate Fordit
Travel Utazik
Try Probal
Turn Fordul
Turn_on Bekapcsol
Type Gepel
Understand Megert
Unexpected Varatlan
Use Hasznal
Wait Var
Wake_Up Felebred
Want Akar
Watch Nez
Work Dolgozik
Worry Aggodik
Write Ir
